,x,y,riv_order,upland_drainage_area
135732,-75.8773157402577,-6.434445317752999,3.0,70010.97
2392929,-54.52369738070129,-2.1484236687049996,4.0,27621.678
1913795,-59.995602296279095,0.0709673786890006,6.0,30.911
2812675,-49.2448049841915,-2.0262153121129995,6.0,37.113
1306095,-65.2905790693779,-2.8598508874369997,6.0,29.8
1461383,-64.0070458175757,-9.614044881226999,6.0,91.009
158988,-75.6199657148337,0.2695559581510003,6.0,21.68
1130836,-66.8411129725575,-10.969248264148998,6.0,345.479
114905,-76.1217982644105,-1.8690902822089996,5.0,264.759
2815022,-49.2126362310135,-2.3797466293969998,6.0,153.353
765544,-70.1416270486203,-1.5461110540729996,3.0,138013.27
2290399,-55.79758000655009,-9.795175124032998,6.0,18.191
1240195,-65.8342309980861,-9.367445875960998,6.0,340.314
99279,-76.3180276587963,-8.623284275998998,6.0,21.86
2620045,-51.6703289738127,-2.822751922042999,6.0,25.084
724967,-70.4922664582605,-11.263857695218999,5.0,717.715
2267432,-56.06458065792749,-8.928805167478998,6.0,39.232
2028183,-58.747454672972694,-1.1707568159689994,6.0,70.609
1622401,-62.572319425836895,-3.848429200582999,6.0,72.393
1856722,-60.532820474351695,-10.168347070054999,5.0,574.227
2767401,-49.868878795844694,-10.718284674718998,4.0,21393.76
100309,-76.3051601575251,-7.739455982788998,6.0,71.689
1098294,-67.1209811252061,-15.277092834016997,6.0,442.127
1496207,-63.67892453516009,-9.417638593846998,4.0,5775.73
103033,-76.26977452902929,-6.395164060276999,6.0,162.539
2679033,-50.956182653261095,-13.566175841728999,5.0,1026.146
932309,-68.5910931454407,-2.621981050498999,6.0,19.084
545572,-72.05888473802909,-3.9880958938309994,6.0,16.917
581282,-71.7178959543423,-4.994132543632999,6.0,26.087
992927,-68.0410074660969,-9.035737479496998,3.0,65944.68
1604095,-62.7299463164091,-15.473499121396998,6.0,148.577
2162096,-57.258041400831296,0.5619830971390005,6.0,97.664
1340522,-65.02036154268269,-10.340748144532999,6.0,55.955
2400037,-54.436841747120695,-6.489002619802999,5.0,916.473
1279919,-65.5028928403527,-5.576804529526999,6.0,38.67
1502038,-63.6210207794397,-7.364101744684998,6.0,83.668
1455641,-64.0617326979783,-9.267060440188999,6.0,117.132
310554,-74.19810682436609,-3.9619083888469997,6.0,17.132
1463412,-63.9877445656689,-10.953972219574998,5.0,706.462
2583229,-52.13999277021149,-8.060252918842998,5.0,1964.172
2921198,-47.2889447909691,-11.872717186096999,5.0,3063.574
2672276,-51.0366045362061,-12.902759048800998,4.0,49826.73
110894,-76.1732682694953,-5.790669153562998,3.0,81940.74
2773653,-49.7852400375819,-7.187336086042999,6.0,91.801
2198388,-56.852715110788495,-5.0836065189949995,5.0,681.27
1526019,-63.392622631875895,-2.877309224092999,6.0,61.529
786567,-69.9550482801879,-1.2471370388389995,6.0,25.538
1218855,-66.0240266418363,-7.604153873704998,6.0,62.982
819043,-69.6590957509503,-4.723528325464999,6.0,18.184
590875,-71.6310403207617,-2.824934214125,6.0,62.821
1339016,-65.03001216863609,0.060055918279000586,4.0,4607.307
1340431,-65.02036154268269,-3.9117156709609993,4.0,15618.179
2376888,-54.736011151676095,0.7103789587150002,5.0,802.343
1970164,-59.4101309884395,-2.0524028170969992,4.0,19857.283
2214792,-56.6725700929917,1.4916395240710005,6.0,547.442
906972,-68.83235879427569,-3.3595957742149998,6.0,22.286
2870500,-48.3440798952075,-7.697992433230999,5.0,429.309
818318,-69.6655295015859,-0.2781993544309995,5.0,434.895
343461,-73.91823867171749,-13.072977831196997,5.0,699.135
278952,-74.4811918523325,0.08624342326300027,5.0,1096.671
2823414,-49.0871780936193,-10.166164777972998,6.0,177.223
2402551,-54.398239243307096,0.6951029141410006,5.0,665.152
1778816,-61.221231792360896,-1.5068297965969992,6.0,30.685
1074992,-67.3300780208631,-6.4082578127689995,6.0,94.504
223510,-74.99589190318049,-0.31966290398899977,6.0,167.431
809092,-69.75238513516649,-5.611721202838998,6.0,36.104
419692,-73.25556235625069,-13.618550851696998,6.0,135.16
1124276,-66.89258297764229,-0.3043868594149992,6.0,24.9
1276200,-65.5350615935307,-15.615348106726998,6.0,176.665
1709271,-61.81635372615389,-4.2150542703589995,5.0,356.668
1351190,-64.9367227844199,-9.585675084160998,2.0,957206.94
1662569,-62.218463140878896,-9.432914638420998,5.0,464.546
88772,-76.44348579619049,0.060055918279000586,6.0,49.157
1417708,-64.3930708557117,-2.355741416494999,5.0,540.065
2912477,-47.5012585619439,-9.651143846620998,6.0,114.681
701738,-70.6852789773285,-4.509663701428998,6.0,32.528
2098889,-57.956103344793895,0.8042175182410003,5.0,926.315
2711231,-50.54442261258269,-0.4527827209909998,6.0,152.833
214525,-75.08274753676109,-7.994784156382998,6.0,21.682
1216729,-66.0433278937431,-11.842165096948998,5.0,677.19
37379,-77.17693336864889,-3.6716635419409998,6.0,22.065
792089,-69.90679515042089,-8.306851924108999,6.0,243.572
2880630,-48.1928867552709,-15.100327175374996,6.0,80.223
2790272,-49.569709391289294,-0.9176109344569991,6.0,27.902
1883551,-60.2915548255167,-11.859623433604998,6.0,64.282
2371186,-54.819649909938896,-14.076832188916999,5.0,561.41
900311,-68.8902625499961,1.4501759745130003,6.0,31.545
2806573,-49.3348774930899,-10.805576357998998,6.0,41.328
1435544,-64.2450945910929,-7.451393427964998,6.0,94.495
550345,-72.0170653588977,-11.324961873514999,6.0,80.188
3980,-78.1484297146245,-4.490023072690999,4.0,6562.533
1166472,-66.50334106418849,-6.894908947054999,6.0,131.685
1581225,-62.9229588354771,-9.764623034884998,6.0,21.788
2333243,-55.29896433229109,-2.1266007478849995,1.0,4692903.5
1823801,-60.8352067542249,-2.3273716194289995,5.0,345.335
1125924,-66.87971547637109,-14.190311377180997,5.0,3043.785
740231,-70.36037457023069,-4.819549177072998,4.0,18703.361
2038375,-58.63486403684969,-12.514311058205,6.0,287.146
993343,-68.03457371546129,2.052488589145,5.0,379.299
544199,-72.0717522393003,-3.4512520416589996,6.0,38.783
863019,-69.24090195963629,-8.376685270732999,6.0,162.854
2159081,-57.296643904644895,-5.884507713088999,6.0,47.402
2780552,-49.70160127931909,-11.953461993130999,6.0,67.618
580402,-71.7275465802957,-11.394795220138999,6.0,69.028
890575,-68.9803350588945,-13.188639311543,6.0,199.504
2551667,-52.5324515589831,-8.071164379252998,6.0,113.508
231529,-74.92833752150669,-2.355741416494999,6.0,27.667
344321,-73.90858804576409,-3.870252121402999,4.0,5907.913
1153106,-66.62558232626489,-1.9694757179809996,5.0,876.067
2866116,-48.40520052624569,-6.960377709514999,6.0,339.315
603936,-71.51523280932089,-0.5138868992869994,6.0,18.245
89060,-76.44348579619049,-7.433935091308999,4.0,5180.409
647469,-71.13885839713829,-5.013773172370998,6.0,66.498
2692709,-50.779254510782096,-8.592732186850998,6.0,131.167
1649055,-62.334270652319695,-1.7970746435029992,3.0,24184.309
201978,-75.20498879883749,-5.456778465016999,4.0,2090.901
1590831,-62.839320077214296,-5.851773331858999,6.0,125.338
1319639,-65.18442218389049,-17.090577554158997,5.0,1797.945
2065494,-58.33569463229429,-4.077569869192999,5.0,1050.873
2568122,-52.320137788008296,-12.843837162586997,6.0,506.568
217148,-75.0570125342187,-8.522898840226999,6.0,59.647
1222025,-65.99507476397609,-3.3181322246569995,6.0,103.07
484900,-72.6507897965043,0.35248305726700035,6.0,17.816
209240,-75.1310006665281,-11.680675482880998,6.0,86.818
2662649,-51.1524120476469,-4.077569869192999,5.0,331.432
1933672,-59.7865054006221,-9.913018896460999,6.0,56.457
2644681,-51.3743764445751,-12.287352681677,5.0,2056.291
2326927,-55.3729524646005,-2.2400799361489994,5.0,3185.495
1921861,-59.9151804133341,-1.7446996335349998,6.0,55.999
2678280,-50.96583327921449,-13.127535133246997,6.0,130.463
1531197,-63.347586377426694,-0.5553504488449996,6.0,121.062
2325263,-55.395470591825095,-3.8287885718449997,6.0,40.479
2285799,-55.8490500116349,-5.723018099020999,3.0,39976.09
1359751,-64.8659515274283,-16.165285711390997,4.0,1503.968
1263597,-65.6380016037003,-6.111466089616998,6.0,27.108
1223357,-65.98220726270489,-10.744472179703,6.0,114.951
424541,-73.2137429771193,-13.555264381318999,6.0,315.796
2746645,-50.1262288212687,-1.5722985590569993,6.0,35.19
516367,-72.3484035166311,-12.719446513912999,6.0,232.327
2639186,-51.4354970756133,-10.617899238946999,6.0,437.273
2528748,-52.8091028363139,-13.636009188352997,6.0,114.923
2137298,-57.5314758028443,-5.229820088488999,6.0,56.649
131069,-75.9320026206603,-4.182319889128999,5.0,1235.79
1066217,-67.4072830284903,-13.474519574284997,5.0,2640.605
1301604,-65.3259646978737,-11.183112888184999,3.0,596145.0
2605066,-51.8569077422451,-16.252577394670997,5.0,1835.288
1809069,-60.970315517572494,-1.3475224746109995,6.0,59.873
410119,-73.3392011145135,-0.9328869790309997,5.0,463.183
1535675,-63.308983873613094,-1.2427724546749999,6.0,32.191
1454074,-64.07781707456729,-17.214968202833,6.0,156.616
325818,-74.0694318116541,-10.567706521060998,6.0,29.331
218863,-75.0409281576297,-4.319804290294998,6.0,138.717
1313035,-65.2358921889753,-1.6464964898449996,6.0,87.971
312082,-74.18523932309489,-7.488492393358998,6.0,30.009
1231345,-65.9114360057133,-10.897232625442998,5.0,1724.056
2508309,-53.0696697370557,-14.532931234054999,6.0,128.179
2853311,-48.617514297220495,-3.913897963042999,6.0,158.677
2466940,-53.5843697879037,-7.333549655536999,4.0,40550.55
1573662,-62.9840794665153,-17.044749420436997,4.0,69086.47
293918,-74.3460830889849,-8.887341617920999,6.0,142.285
766389,-70.1351932979847,-8.725852003852998,6.0,137.461
1583685,-62.90365758357029,-6.698502659674999,6.0,43.279
667394,-70.97158088061269,-4.0601115325369985,6.0,17.129
566225,-71.8626553436433,-3.6083770715629995,5.0,189.584
1922433,-59.911963538016295,-10.216357495858999,6.0,79.85
648381,-71.1324246465027,-11.207118101086998,6.0,40.434
1010432,-67.8865974508425,-6.039450450910998,6.0,21.561
1652799,-62.305318774459494,-11.342420210170998,6.0,227.44
2678819,-50.956182653261095,-1.6857777473209992,6.0,49.351
2745777,-50.1390963225399,-9.123029162776998,6.0,169.575
226690,-74.97015690063809,-10.043956421380999,4.0,6344.552
1017884,-67.8254768198043,-11.724321324520998,6.0,115.569
1196602,-66.2202560362221,-1.8603611138809995,6.0,58.142
2392960,-54.52369738070129,-4.097210497931,6.0,92.914
2881285,-48.1800192539997,-14.914832348405,6.0,101.24
1226653,-65.95003850952689,-5.053054429846998,6.0,37.631
1122974,-66.9054504789135,-7.257169432666998,5.0,2090.412
1649297,-62.334270652319695,-10.329836684122998,4.0,4536.581
1581127,-62.9229588354771,-7.473216348784998,5.0,375.858
341452,-73.9343230483065,-8.191190443762999,6.0,38.245
496610,-72.5381991603813,-6.938554788694999,6.0,39.42
2870382,-48.3440798952075,-2.0480382329329996,4.0,6082.019
2385932,-54.620203640235296,-13.808410262831,6.0,480.693
1594005,-62.81358507467189,-7.986054988054999,6.0,60.159
367736,-73.7155755266961,-8.278482127042999,5.0,724.336
1165435,-66.5097748148241,1.2668634396250003,6.0,51.505
2582380,-52.152860271482695,-15.458223076823,5.0,827.049
2469915,-53.548984159407894,-6.253315074946999,5.0,1562.334
1649523,-62.3310537770019,-2.868580055764999,6.0,62.816
1376534,-64.73084276408069,-9.356534415550998,2.0,962233.25
225456,-74.9798075265915,-9.513659445454998,3.0,21985.48
2373797,-54.781047406125296,-0.1407149532649994,6.0,144.25
2481369,-53.417092271378095,-11.049993071182998,4.0,27449.688
49132,-76.9935714755343,-4.387455344836999,5.0,194.154
836004,-69.49825198506029,-3.512356219954999,5.0,840.188
2030578,-58.72493654574809,-12.632154830632999,6.0,153.682
2277134,-55.9487731464867,-1.9825694704729995,6.0,166.692
394886,-73.47430987786109,1.1228321622130002,5.0,833.739
2250841,-56.2575931769955,-6.235856738290998,6.0,41.82
422909,-73.2233936030727,1.2210353059030004,6.0,168.891
2715383,-50.4929526074979,-2.5150487384809996,6.0,197.719
329133,-74.04047993379389,-8.247930037895,6.0,103.471
2802775,-49.3959981241281,-2.4823143572509996,6.0,163.847
791266,-69.9132289010565,-9.027008311168998,6.0,46.218
2546420,-52.5935721900213,-2.8314810903709993,6.0,144.707
2473368,-53.5071647802765,1.1315613305410004,6.0,59.664
221837,-75.0119762797695,-2.222621599493,6.0,50.619
852423,-69.3438419698059,0.6514570725010005,6.0,43.572
2338011,-55.234626825935095,-12.409561038268997,6.0,327.112
1181162,-66.3617985502053,-2.589246669268999,5.0,679.537
1628477,-62.517632545434296,-1.6814131631569995,6.0,40.124
1806784,-60.9896167694793,-2.098230950818999,6.0,150.815
1788297,-61.1440267847337,-4.579497048052998,5.0,375.777
454706,-72.93065794915289,-4.376543884426999,6.0,24.827
176351,-75.4430375723547,-0.9110640582109997,6.0,54.946
2316425,-55.49841060199469,-4.306710537802999,5.0,769.349
1802841,-61.0217855226573,0.7867591815850004,6.0,164.626
1152106,-66.6352329522183,-4.092845913766999,6.0,25.05
1580391,-62.926175710794894,2.859936659485,6.0,39.232
1796209,-61.076472403059896,-9.051013524071,6.0,33.914
264202,-74.6195174909979,-2.1571528370329998,3.0,24407.373
2313489,-55.5370131058083,-9.467831311732999,6.0,167.3
2269351,-56.038845655385096,-0.1559909978389995,6.0,83.502
2790696,-49.5664925159715,-12.069123473476997,6.0,192.5
33113,-77.2477046256405,-7.918403933512998,6.0,328.444
1850132,-60.5907242300721,-9.096841657792998,6.0,58.296
1339249,-65.03001216863609,-11.933821364392998,3.0,235705.4
758917,-70.1995308043407,-0.5575327409269994,6.0,22.323
1381472,-64.6922402602671,-16.972733781730998,4.0,5099.123
2526198,-52.8444884648097,-2.510684154316999,6.0,36.457
1098489,-67.1177642498883,-5.173080494356999,6.0,31.639
1909438,-60.034204800092695,-0.7102931866669997,6.0,28.762
2624645,-51.609208342774494,-16.337686785868996,6.0,170.504
919370,-68.7133344075171,-7.045487100712998,6.0,52.83
1213258,-66.0690628962855,1.0944623651470002,6.0,47.217
2445485,-53.8449366886455,0.29792575521700027,6.0,67.831
1666823,-62.179860637065296,-1.164209939723,6.0,280.081
1494539,-63.698225787066896,-9.664237599113,6.0,20.95
1912259,-60.011686672868095,-2.0393090646049994,6.0,33.251
381524,-73.5933342646197,-9.847550134000999,6.0,33.841
1250093,-65.7538091151411,-4.0273771513069985,6.0,43.467
458963,-72.8920554453393,0.9002383698490002,6.0,37.561
2343059,-55.167072444261294,-8.773862429657,6.0,39.249
1244237,-65.8020622449081,-15.580431433414997,5.0,699.915
556626,-71.95594472785949,-3.4599812099869998,6.0,96.843
385991,-73.55151488548829,0.9635248402270005,6.0,43.783
1352854,-64.9206384078309,-7.126231907746998,6.0,147.825
15549,-77.6465971650477,-2.968965491536999,5.0,184.159
2828756,-49.0003224600387,-2.4866789414149992,4.0,9071.015
471846,-72.77624793389849,-12.931128845866997,6.0,42.258
1325133,-65.13938592944129,0.6470924883370004,6.0,68.901
2845823,-48.739755559296896,-7.276810061404998,6.0,73.882
157527,-75.63605009142269,-4.7278929096289986,4.0,3350.606
1950822,-59.612794133460895,-14.081196773080997,6.0,341.359
2307806,-55.59813373684649,-0.8346838353409995,6.0,63.962
1371243,-64.7726621432121,-7.907492473102998,6.0,165.024
