coordinates,riv_order,upland_drainage_area
"(-60.10158, -2.96906)",5,1131.009
"(-56.4731, -1.6562)",6,94.839
"(-48.77726, -1.73036)",6,47.845
"(-53.76014, -6.08991)",6,138.758
"(-50.52739, -5.78893)",6,232.585
"(-66.99352, 2.61857)",5,552.002
"(-67.55966, 2.74367)",3,25362.158
"(-63.39769, 0.65611)",6,89.291
"(-63.02299, 0.44579)",5,440.45
"(-63.13553, 0.22708)",5,2345.694

