,x,y,riv_order,upland_drainage_area
1141537,-66.73495608707009,-7.473216348784998,6.0,170.47
2805903,-49.3445281190433,-5.378215950064998,6.0,74.368
2839077,-48.839478694148696,-7.789648700674999,6.0,157.62
593290,-71.61173906885489,-8.968086424954999,6.0,54.706
1142325,-66.7285223364345,-5.856137916022998,6.0,71.528
1716514,-61.7552330951157,-16.577738914888997,6.0,2408.246
703287,-70.67241147605729,-8.780409305902998,6.0,39.036
2693753,-50.763170134193096,-2.744189407090999,6.0,98.193
2107558,-57.8660308358955,0.30665492354500046,6.0,35.847
1769052,-61.3048705506237,-6.334059881980998,6.0,34.559
413495,-73.31024923665329,-6.890544362890999,6.0,103.771
1430565,-64.28691397022429,-7.102226694844999,6.0,445.032
988401,-68.07960996991049,-2.279361193625,6.0,109.388
2789705,-49.5761431419249,-2.078590322081,6.0,144.149
501603,-72.48994603061429,-4.623142889692998,6.0,58.621
768929,-70.1094582954423,-0.6470067162889994,6.0,92.942
1300842,-65.3323984485093,-6.646127649706999,6.0,98.068
2276847,-55.9519900218045,-2.9711477836189997,6.0,38.159
1904787,-60.0824579298597,-3.422882244592999,6.0,35.999
1371515,-64.7694452678943,-0.5444389884349996,6.0,28.334
144697,-75.7775926054059,-9.522388613782999,6.0,64.56
2852976,-48.623948047856096,-3.802601066860999,6.0,377.331
1142301,-66.7285223364345,-5.098882563568999,6.0,22.664
715901,-70.5662545905699,-5.873596252678999,6.0,37.583
1688480,-61.990064993315094,-7.172060041468999,6.0,105.426
97587,-76.33732891070309,-1.3780745637589997,6.0,16.738
1928832,-59.841192281024696,-11.580290047109,6.0,74.006
13552,-77.7141515467215,-6.015445238008999,6.0,235.438
13426,-77.7173684220393,-4.518392869756999,6.0,146.783
2228354,-56.514943202419495,-5.271283638046999,6.0,56.427
1585732,-62.887573206981294,-14.796988575976997,6.0,290.874
525387,-72.25511413241489,-7.302997566388999,6.0,61.745
2801424,-49.415299376034895,-11.163472259446998,6.0,107.212
94327,-76.37914828983449,0.060055918279000586,6.0,28.12
640581,-71.1967621528587,-1.4828245836949994,6.0,38.196
1626675,-62.53693379734109,-3.857158368910999,6.0,196.613
749010,-70.2863864379213,-4.577314755970999,6.0,24.821
520440,-72.3065841374997,-12.861295499242999,6.0,73.236
805329,-69.78455388834449,-2.1593351291149996,6.0,26.384
758709,-70.2027476796585,-5.602992034510999,6.0,62.804
840816,-69.45321573061109,0.5598008050570003,6.0,36.705
755874,-70.22848268220089,-5.223273212242999,6.0,19.239
763002,-70.1641451758449,-1.6574079502549997,6.0,17.38
608301,-71.4766303055073,-7.038940224466998,6.0,220.252
929032,-68.6232618986187,-13.788769634092997,6.0,73.16
1321665,-65.1683378073015,-8.317763384518999,6.0,103.001
460230,-72.8824048193859,-8.047159166351,6.0,49.31
1939418,-59.7286016449017,-8.184643567516998,6.0,74.798
652825,-71.09382214268909,-4.463835567706999,6.0,44.726
2038899,-58.6284302862141,-5.127252360635,6.0,262.347
556547,-71.95594472785949,-1.7490642176989994,6.0,19.525
242199,-74.82539751133709,-0.03160034916499965,6.0,109.476
2516343,-52.9635128515683,-3.525449972446999,6.0,111.833
1405626,-64.49922774119909,-11.846529681112997,6.0,167.857
2850576,-48.6593336763519,-9.288883361008999,6.0,47.664
2536292,-52.7125965767799,-4.352538671524998,6.0,179.781
2299451,-55.6914231210627,0.7802123053390004,6.0,324.752
2206678,-56.7658594772079,-12.490305845302998,6.0,133.278
1485343,-63.7818645453297,-10.814305526326999,6.0,28.464
475886,-72.73442855476709,-5.934700430974999,6.0,53.803
1325656,-65.1361690541235,1.2144884296570004,6.0,45.069
1017791,-67.8254768198043,-9.020461434922998,6.0,243.082
915988,-68.74228628537729,1.5112801528090003,6.0,25.106
2135227,-57.5539939300689,-7.464487180456999,6.0,50.446
2539169,-52.680427823601896,-2.910043605322999,6.0,50.594
877940,-69.0961425703353,0.7802123053390004,6.0,15.454
82588,-76.5271245544533,-7.857299755216999,6.0,33.171
361764,-73.7606117811453,1.1861186325910005,6.0,25.324
2611009,-51.7732689839823,-5.727382683184999,6.0,175.757
435815,-73.1075860916319,-1.7883454751749999,6.0,76.384
934600,-68.5685750182161,-1.0158140781469993,6.0,41.423
784166,-69.9775664074125,-3.5712781061689998,6.0,68.347
2559144,-52.4359452994491,-0.6862879737649998,6.0,53.875
1118235,-66.9440529827271,2.275082381509,6.0,13.298
1927333,-59.85405978229589,1.8866343909130003,6.0,59.428
2844251,-48.762273686521496,-7.265898600994998,6.0,69.843
2265149,-56.0903156604699,-1.6290381531889992,6.0,51.711
2762824,-49.92356567624729,-1.0179963702289991,6.0,39.061
1728690,-61.652293084946095,-9.806086584442998,6.0,230.903
1363315,-64.8369996495681,-2.030579896276999,6.0,15.016
599873,-71.5506184378167,-5.5069711829029995,6.0,154.453
605926,-71.4959315574141,0.08406113118100045,6.0,62.68
101328,-76.28907578093609,-0.6055431667309992,6.0,15.24
2144792,-57.4446201692637,-10.482597129862999,6.0,119.48
2568408,-52.3137040373727,-0.7561213203889996,6.0,49.368
237485,-74.87365064110409,-3.1195436451949994,6.0,47.367
2838161,-48.8523461954199,-5.402221162966999,6.0,224.986
212292,-75.1020487886679,-6.331877589898999,6.0,25.176
1410697,-64.45419148674989,-1.5657516828109999,6.0,166.728
566976,-71.85622159300769,-12.597238157320998,6.0,213.251
